,dataset,metric,1vsall_dm_relu_normalized
741,jpeg_compression_4,logits_loss,1.9238736629486084
746,jpeg_compression_4,acc,0.7358141541481018
747,jpeg_compression_4,ece,0.04237233102321625
748,jpeg_compression_4,nll,0.7805489301681519
749,jpeg_compression_4,brier,0.4269400537014008
750,jpeg_compression_5,loss,2.073784589767456
751,jpeg_compression_5,logits_loss,1.9754799604415891
756,jpeg_compression_5,acc,0.7152549624443054
757,jpeg_compression_5,ece,0.05033789575099945
758,jpeg_compression_5,nll,0.8252790570259094
759,jpeg_compression_5,brier,0.4510828852653504
760,spatter_1,loss,1.7491081953048706
761,spatter_1,logits_loss,1.6508039236068726
766,spatter_1,acc,0.8388158082962036
767,spatter_1,ece,0.07712141424417496
768,spatter_1,nll,0.5417997241020203
769,spatter_1,brier,0.2995981276035309
770,spatter_2,loss,1.8811876773834229
771,spatter_2,logits_loss,1.7828832864761353
776,spatter_2,acc,0.7862870097160339
777,spatter_2,ece,0.0591890849173069
778,spatter_2,nll,0.6563576459884644
779,spatter_2,brier,0.3618038892745972
780,spatter_3,loss,2.0170137882232666
781,spatter_3,logits_loss,1.918709635734558
786,spatter_3,acc,0.7372533082962036
787,spatter_3,ece,0.0365934744477272
788,spatter_3,nll,0.7761685252189636
789,spatter_3,brier,0.4234275221824646
790,spatter_4,loss,1.8823764324188232
791,spatter_4,logits_loss,1.7840719223022459
796,spatter_4,acc,0.7883429527282715
797,spatter_4,ece,0.05651266872882842
798,spatter_4,nll,0.6575438380241394
799,spatter_4,brier,0.36202916502952576
800,spatter_5,loss,2.0935769081115723
801,spatter_5,logits_loss,1.9952726364135744
806,spatter_5,acc,0.7081620097160339
807,spatter_5,ece,0.04690909758210182
808,spatter_5,nll,0.839446485042572
809,spatter_5,brier,0.4635511338710785
810,speckle_noise_1,loss,2.0023672580718994
811,speckle_noise_1,logits_loss,1.9040629863739011
816,speckle_noise_1,acc,0.7430098652839661
817,speckle_noise_1,ece,0.04678848013281822
